number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
20,0.8459965118122721,2026-02-08 12:41:33.568668,2026-02-08 12:41:34.001484,0 days 00:00:00.432816,0.7852424489950779,0.47377653575158474,0.010315665975654099,3,3,316,1.5931270322488492e-06,4.2453203052009134e-05,0.702658765926552,COMPLETE
21,0.8484540986205803,2026-02-08 12:41:34.023653,2026-02-08 12:41:34.561936,0 days 00:00:00.538283,0.8561679153428376,0.6457166538134814,0.016832133845496044,4,8,224,7.68950889795736e-08,8.212152229101083e-07,0.6328777907427855,COMPLETE
22,0.8485028392908527,2026-02-08 12:41:34.597020,2026-02-08 12:41:35.190419,0 days 00:00:00.593399,0.8488428469202767,0.6612899672163767,0.014801628487376272,4,8,235,8.745942232452401e-08,2.1888642081696866e-06,0.6228114424370239,COMPLETE
23,0.8433468985078307,2026-02-08 12:41:35.230629,2026-02-08 12:41:35.899609,0 days 00:00:00.668980,0.8583769630197364,0.6481736895864365,0.017887168331555216,3,8,116,9.230933889560263e-08,1.791610525274686e-06,0.6200307232631415,COMPLETE
24,0.8381891960138352,2026-02-08 12:41:35.935697,2026-02-08 12:41:37.757127,0 days 00:00:01.821430,0.9090991531726403,0.8250086241993768,0.024811976162928805,12,8,356,1.0164266882956885e-08,2.9931060610501493e-05,0.639502491808428,COMPLETE
25,0.8466336639477595,2026-02-08 12:41:37.781735,2026-02-08 12:41:38.513260,0 days 00:00:00.731525,0.9634513333627804,0.6248464303731927,0.014038453006869489,4,9,177,6.533565239011143e-08,1.2796314833045492e-05,0.7602852291851431,COMPLETE
26,0.8317096230525753,2026-02-08 12:41:38.637561,2026-02-08 12:41:39.917151,0 days 00:00:01.279590,0.9236298618561415,0.47247748587482497,0.042240680595372775,6,7,405,1.5080350834380566e-07,3.28042834377782e-07,0.6932893660206899,COMPLETE
27,0.8478874149240408,2026-02-08 12:41:39.944050,2026-02-08 12:41:40.509507,0 days 00:00:00.565457,0.8911620796984541,0.9857399624917359,0.01338686034979277,6,5,248,9.732229206505088e-07,0.00021035953691257052,0.6359381599120443,COMPLETE
28,0.826521971472027,2026-02-08 12:41:40.532025,2026-02-08 12:41:41.746117,0 days 00:00:01.214092,0.8537392833506492,0.7683622659417062,0.08744967655707392,4,8,461,3.3641760242676356e-08,1.83179286834975e-06,0.6013105155342257,COMPLETE
29,0.8364304212250939,2026-02-08 12:41:41.768827,2026-02-08 12:41:46.351165,0 days 00:00:04.582338,0.838792347804738,0.8723864150924981,0.018394011347981683,11,7,576,2.8359018385258667e-07,9.724848124177278e-08,0.7173340262176697,COMPLETE
